BrineInletPressure,BrineInletTemp,BrineOutletFlow,AmbientTemp,R134aPumpSpeed,TurboInletTemp,TurboExhaustPressure,TurboExhaustTemp,CondenserTemp,Gross,Cost,BrineOutletTemp
126.2,296.7,2740.0,47.4,1037.0,243.6,91.9,95.3,52.2,9.825,2.523999999999999,102.9
126.2,296.6,2742.0,47.2,1037.0,243.5,93.0,96.2,53.2,9.698,2.5180000000000007,103.7
126.2,296.6,2739.0,46.8,1037.0,243.3,95.5,97.0,54.1,9.429,2.4910000000000005,104.1
126.2,296.5,2735.0,45.0,1037.0,243.3,91.2,93.6,51.9,9.824,2.5039999999999996,103.0
126.2,296.6,2734.0,44.8,1037.0,244.1,87.9,91.8,50.0,10.215,2.5220000000000002,101.6
126.2,296.6,2735.0,44.6,1037.0,244.3,88.9,92.8,50.5,10.135,2.5459999999999994,102.0
126.3,296.7,2733.0,41.0,1037.0,243.6,85.7,89.9,47.7,10.424,2.395999999999999,100.5
126.3,296.8,2731.0,37.0,1037.0,243.2,85.5,87.8,46.5,10.426,1.984,98.9
126.3,296.8,2733.0,35.9,1038.0,242.8,85.9,87.3,45.8,10.418,1.9739999999999984,98.1
127.6,297.0,2732.0,36.5,1041.0,242.6,85.8,86.9,45.7,10.467,2.0020000000000007,97.6
128.0,297.1,2732.0,37.5,1043.0,242.5,85.8,86.1,45.8,10.482,2.0459999999999994,97.8
128.9,297.1,2749.0,38.5,1041.0,243.1,85.6,87.2,46.4,10.516,2.0860000000000003,98.5
126.6,296.6,2755.0,41.4,1037.0,241.6,86.0,86.5,47.1,10.525,2.4589999999999996,98.3
126.5,296.6,2750.0,42.5,1037.0,241.6,85.3,86.5,47.7,10.528,2.41,98.7
126.4,296.7,2750.0,46.1,1037.0,241.6,88.2,89.4,50.2,10.293,2.515999999999999,99.9
126.4,296.7,2751.0,48.2,1037.0,241.6,90.9,91.3,51.7,10.039,2.5469999999999997,101.4
126.3,296.8,2749.0,46.1,1032.0,242.0,88.2,91.9,50.9,10.24,2.4430000000000005,101.8
126.3,296.8,2749.0,48.8,1031.0,242.3,88.7,92.8,51.3,10.212,2.5359999999999996,102.4
